"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta020","0.2","-166.9363086307076","69.0","2.875","2.5","3.41","0.1077032961426901"
"theta020","0.2","-166.9363086307076","69.0","2.875","7.5","10.76","0.1077032961426901"
"theta020","0.2","-166.9363086307076","69.0","2.875","12.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","69.0","2.875","17.5","11.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.000008","2.916667","2.5","3.42","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.000008","2.916667","7.5","10.79","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.000008","2.916667","12.5","11.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.000008","2.916667","17.5","11.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.999992","2.958333","2.5","3.38","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.999992","2.958333","7.5","10.79","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.999992","2.958333","12.5","11.12","0.1077032961426901"
"theta020","0.2","-166.9363086307076","70.999992","2.958333","17.5","11.19","0.1077032961426901"
"theta020","0.2","-166.9363086307076","72.0","3.0","2.5","3.49","0.1077032961426901"
"theta020","0.2","-166.9363086307076","72.0","3.0","7.5","10.75","0.1077032961426901"
"theta020","0.2","-166.9363086307076","72.0","3.0","12.5","11.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","72.0","3.0","17.5","11.12","0.1077032961426901"
"theta020","0.2","-166.9363086307076","73.000008","3.041667","2.5","3.40","0.1077032961426901"
"theta020","0.2","-166.9363086307076","73.000008","3.041667","7.5","10.75","0.1077032961426901"
"theta020","0.2","-166.9363086307076","73.000008","3.041667","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","73.000008","3.041667","17.5","11.19","0.1077032961426901"
"theta020","0.2","-166.9363086307076","73.999992","3.083333","2.5","3.42","0.1077032961426901"
"theta020","0.2","-166.9363086307076","73.999992","3.083333","7.5","10.86","0.1077032961426901"
"theta020","0.2","-166.9363086307076","73.999992","3.083333","12.5","11.07","0.1077032961426901"
